Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	RSI_Buy	RSI_Sell	Chaikin	%K	%D	OBV	signal	HOBV	HOBV_signal	MFI	ADX	plus	minus	
2023/12/29	05:33:21	17102.75	17105.25	17102	17102	17101.13	17098.75	 	17098.13	17109.13	1	0	-7.84	68.06	62.24	212251	212424.47	243418	242570.88	56.08	43.48	19.88	9.39	
2023/12/29	05:34:36	17101.75	17104.75	17101	17103.75	17101.13	17098.75	 	17098	17109	1	0	-14.02	73.26	66.65	212688	212551	242981	242844.84	56.47	39.02	17.4	11.54	
2023/12/29	05:35:43	17103.5	17106.75	17103.25	17106.75	17102.13	17100.38	 	17098	17109	1	0	65.49	73.4	69.35	213181	212637.11	243474	243093.92	58.61	40.58	22.1	10.17	
2023/12/29	05:36:48	17106.75	17107	17102.75	17105	17103	17100.88	 	17098	17109	1	0	109.85	77.66	72.68	212791	212707.53	243864	243282.16	45.62	39.11	18.96	10.4	
2023/12/29	05:37:49	17104.75	17108	17103	17107.75	17104.38	17101.88	 	17098	17108.5	1	0	189.74	88.02	78.81	213200	212738.81	244273	243409.6	59.93	40.45	19.13	8.72	
2023/12/29	05:38:49	17108	17109.75	17106	17107.75	17105.38	17102.5	 	17098.63	17107.75	1	0	217.87	91.13	83.74	213200	212765.97	244787	243541.04	61.12	44.67	22.51	7.65	
2023/12/29	05:39:02	17107.75	17109.25	17106	17109	17105.38	17102.5	 	17099.38	17107.75	1	0	278.51	90.65	86.51	213605	212832.78	245192	243742.8	74.6	48.05	20.05	6.81	
2023/12/29	05:40:07	17109.25	17109.75	17107.25	17107.5	17105.38	17102.5	 	17099.88	17107.75	1	0	248.2	90.32	88.03	213241	212914.5	245556	244007.4	87.05	51.63	20.04	6.21	
2023/12/29	05:41:11	17107.25	17108.75	17106	17106	17105.38	17102.5	 	17099.88	17107	1	0	154.56	83.25	86.12	212863	212983.78	245178	244305.48	73.99	45.73	18.02	10.17	
2023/12/29	05:42:06	17106	17108	17105.5	17107.75	17105.38	17102.5	 	17099.88	17106.88	1	0	157.43	81.28	84.19	213339	213063.42	244702	244601.68	73.84	38.15	16.29	11.11	
2023/12/29	05:43:03	17108	17111.75	17107.5	17111	17107.25	17103.5	 	17100.69	17106.88	1	0	192.98	79.65	82.37	213735	213153.47	245098	244855.56	87.15	41.72	27.67	9.35	
2023/12/29	05:43:36	17111	17113.5	17110.75	17112.5	17108.13	17104.38	 	17100.81	17105.38	1	0	219.6	82.56	82.45	214122	213253.31	245485	245032.72	87.06	46.63	31.47	8.37	
2023/12/29	05:44:02	17112.5	17115.75	17112.25	17115.75	17109.38	17105.5	 	17100.5	17105.38	1	0	290.85	92.02	86.28	214534	213341.33	245897	245140.24	86.59	52.4	35.87	7.24	
2023/12/29	05:44:39	17115.75	17115.75	17112.75	17112.75	17110.63	17105.5	 	17101.25	17105.38	1	0	239.28	91	88.16	214084	213437.42	246347	245241.96	71.08	57.02	31.67	6.39	
2023/12/29	05:45:15	17113	17113.75	17110.25	17110.25	17110.63	17105.5	 	17101.25	17105.38	1	0	135.67	83.26	86.2	213714	213565.97	245977	245377.52	58.24	49.43	27.35	15.26	
2023/12/29	05:45:57	17110.25	17112.25	17109.75	17110.5	17110.63	17105.5	 	17101.13	17105.38	1	0	40.44	75.98	82.11	214166	213702.28	245525	245517.72	56.78	41.58	24.59	15.74	
2023/12/29	05:46:40	17110.75	17111	17107	17107.75	17110.63	17105.5	 	17100.69	17103.75	1	0	-58.99	60.81	73.59	213741	213823.89	245100	245630.8	41.32	38.68	20.73	24.07	
2023/12/29	05:47:16	17108	17108	17103.25	17105	17109.5	17105.5	 	17100.5	17103.13	0	1	-131.38	44.86	62.1	213275	213896.36	244634	245679.72	26.98	41.7	17.06	33.79	
2023/12/29	05:47:43	17104.75	17107.75	17104.5	17105.25	17109.5	17105.5	 	17099.88	17103.13	0	1	-201.55	32.68	50.33	213690	213919.58	244219	245596.76	27.66	44.11	14.96	29.64	
2023/12/29	05:48:21	17105	17106	17101.75	17103.5	17108.75	17106.5	 	17099.56	17103.13	0	1	-243.01	20.57	38.43	213225	213895.53	243754	245373.88	13.64	48.77	12.63	35.12	
2023/12/29	05:48:49	17103.5	17104.5	17100	17103	17107.88	17107.38	 	17099.25	17103.13	0	1	-224.88	15.91	29.42	212727	213820.42	243256	245043.16	13.43	53.74	10.6	35.72	
2023/12/29	05:49:09	17103.25	17106.25	17101.5	17106	17107.88	17107.88	 	17099.25	17103.13	0	1	-128.04	21.98	26.45	213225	213696.19	243754	244674	28.36	51.05	14.89	29.89	
2023/12/29	05:49:49	17106	17106.25	17101.5	17105.25	17106.88	17107.88	 	17099.25	17103.13	0	1	-31.15	26.12	26.32	212852	213547.11	244127	244335.08	29.08	48.89	12.53	25.15	
2023/12/29	05:50:08	17105.75	17107.5	17102.75	17102.75	17106.13	17107.88	 	17099.88	17102.75	0	1	-47.58	26.98	26.58	212420	213397.81	243695	244060.32	33.63	42.21	14.66	21.26	
2023/12/29	05:50:34	17102.75	17104.25	17101	17101.75	17105.5	17107.88	 	17099.94	17101.88	0	1	-98.58	25	25.95	211924	213222.89	243199	243852.28	33.26	40.86	13.06	24.81	
2023/12/29	05:50:58	17101.75	17103.25	17099	17101	17103.5	17107.38	 	17099.94	17101.25	0	1	-126.21	18.36	22.91	211437	213022.17	242712	243713.24	17.68	43.03	11.22	27.94	
2023/12/29	05:51:23	17101.25	17102	17098	17099	17102.88	17106.88	 	17099.94	17101	0	1	-179.64	11.36	18.29	210896	212798	242171	243564.72	17.22	46.08	9.73	27.55	
2023/12/29	05:51:44	17098.5	17099.5	17097	17099	17102.25	17106.38	 	17101.25	17101	0	1	-153.44	10.07	15.01	210896	212535.28	241712	243339.88	17.45	49.74	8.88	28.64	
2023/12/29	05:52:00	17099.25	17100	17097.25	17097.5	17102.25	17106.38	 	17101.94	17101	0	1	-186.67	8.27	12.31	210483	212231.44	241712	243056.68	-0	49.92	9.81	25.78	
2023/12/29	05:52:22	17097.5	17097.75	17092.25	17092.75	17099.88	17104	 	17103.13	17101	0	1	-251.22	5.84	9.72	210069	211886.06	241298	242719.64	-0	55.11	7.97	37.98	
2023/12/29	05:52:32	17092.5	17095.75	17092.25	17094.75	17099.88	17104	 	17103.94	17101	0	1	-244.77	8.27	9.14	210466	211549.22	240901	242331.92	-0	59.25	7.01	33.39	
2023/12/29	05:52:51	17094.75	17095.25	17091.25	17091.5	17099.38	17103.5	 	17103.94	17101	0	1	-288.54	5.66	7.75	210048	211223.47	240483	241940	-0	63.23	6.04	32.23	
2023/12/29	05:53:14	17091.25	17097.25	17091.25	17096.75	17097.75	17103.5	 	17103.94	17101	0	1	-232.67	13.01	9.85	210510	210937.86	240945	241614	17.07	57.25	11.29	26.04	
2023/12/29	05:53:34	17096.75	17097.5	17094.75	17094.75	17097.25	17103.5	 	17103.94	17101	0	1	-262.7	18.15	13.17	210066	210693.89	241389	241354.4	34.71	51.44	11.09	23.63	
