Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	Chaikin	%K	%D	HOBV	signal	MFI	ADX	plus	minus	DMI	
2023/12/16	01:14:28	16848.53	16854.75	16848.53	16853.19	16846.5	16850.13	 	16861.44	16860.25	37.81	70.28	50.99	169016	167790.2	69.74	38.55	27.02	7.42	69.6	
2023/12/16	01:14:45	16850.86	16854.75	16850.86	16853.81	16846.5	16849.5	 	16860.94	16860.25	104.68	84.25	64.3	169377	167980.48	84	41.61	23.94	6.57	67.37	
2023/12/16	01:15:09	16852.34	16856	16852.25	16854.44	16847.13	16848.37	 	16859.38	16860.25	146.6	91	74.98	169758	168266.96	100	45.06	25.04	5.81	69.23	
2023/12/16	01:15:38	16853.39	16858.5	16853.39	16855.69	16848.38	16848.38	 	16857.78	16860.25	154.78	90.32	81.11	170175	168618.84	100	49.4	28.85	4.88	73.97	
2023/12/16	01:15:53	16854.54	16855.5	16848.5	16852	16849.52	16848.38	 	16857.75	16860.25	150.73	84.2	82.35	169751	168971.76	84.67	42.96	22.72	18.29	54.43	
2023/12/16	01:16:06	16853.27	16853.27	16845	16847.19	16849.75	16848.38	 	16857.19	16860.25	108.48	71.74	78.1	169348	169260.48	70.17	38.3	17.57	23.75	43.82	
2023/12/16	01:16:13	16850.23	16850.23	16842.75	16845.19	16850.63	16848.38	 	16855	16859.75	56.7	58.1	70.1	168964	169457.24	56.21	36.56	14.1	25	39.1	
2023/12/16	01:16:30	16847.71	16847.71	16840.75	16843.81	16849.63	16848.38	 	16854.94	16859.75	15.84	43.44	59.44	168516	169527.32	41.14	36.79	11.55	25.68	35.87	
2023/12/16	01:16:50	16845.76	16848.75	16844.25	16846.31	16849.63	16848.38	 	16854.25	16859.75	-12.98	36.42	50.23	168894	169468.36	41.49	35.14	12.82	22.25	40.57	
2023/12/16	01:17:21	16846.04	16850.5	16844	16848.25	16849.63	16848.38	 	16853.22	16859.75	-10.38	35.92	44.5	169243	169343.88	40.82	30.82	15.28	18.38	46.9	
2023/12/16	01:18:01	16847.14	16850.75	16845.5	16848.44	16849.63	16848.38	 	16852.37	16859.75	-0.26	38.08	41.93	169651	169218.24	40.62	26.8	13.76	15.73	48.03	
2023/12/16	01:18:34	16847.79	16854.75	16847.75	16851.25	16849.63	16848.38	 	16851.61	16859.75	5.38	46.07	43.59	170160	169156.96	57.11	26.71	21.9	12.78	59.12	
2023/12/16	01:18:51	16849.52	16858.25	16849.52	16856	16849.5	16848.38	 	16851.13	16859.75	38.65	57.78	49.27	170537	169226.2	70.84	29.66	25.89	9.98	65.91	
2023/12/16	01:19:01	16852.76	16860	16852.76	16858.25	16850.38	16849.13	 	16851.13	16859.75	88.4	70.26	57.66	170925	169427.92	84.32	33.3	25.58	8.19	67.39	
2023/12/16	01:19:13	16855.51	16861.5	16855.51	16859.44	16851.13	16849.88	 	16849.88	16858.5	131.4	82.04	67.41	171315	169732.84	100	37.27	25.49	6.95	68.54	
2023/12/16	01:19:28	16857.47	16859.5	16854.75	16857.56	16851.13	16849.88	 	16849.63	16858.25	160.45	86.94	75.22	170909	170075.96	85.64	38.86	22.29	8.08	64.22	
2023/12/16	01:19:55	16857.52	16860.75	16856	16858.31	16852.75	16849.88	 	16849.63	16858.25	166.08	86.58	79.77	171274	170415.8	85.72	41.21	22.82	7.02	65.8	
2023/12/16	01:20:29	16857.91	16860.75	16855	16857.81	16852.75	16849.88	 	16849.63	16858.25	158.64	84.49	81.66	170906	170689.56	72.38	40.63	19.17	8.68	60.5	
2023/12/16	01:20:58	16857.86	16858.5	16853.5	16855.88	16853.5	16849.88	 	16849.19	16857.88	142.57	80.2	81.07	170531	170866.32	56.95	36.64	16.43	11.72	54.71	
2023/12/16	01:21:26	16856.87	16856.87	16851.25	16854.69	16854.63	16849.88	 	16848.69	16857.38	141.44	76.73	79.34	170109	170911.96	42.12	31.93	13.78	16.3	47.47	
2023/12/16	01:22:03	16855.78	16862.25	16854.25	16858.19	16855.89	16850.25	 	16847.88	16857.38	131.88	75.9	77.96	170522	170891.8	42.65	32.11	25.35	12.77	62.57	
2023/12/16	01:22:24	16856.98	16861	16856.98	16859.63	16856.75	16851.4	 	16847.75	16857.38	140.11	76.46	77.36	170919	170812.88	42.79	32.25	22.42	11.3	61.12	
2023/12/16	01:23:10	16858.3	16860.75	16855	16858.44	16856.75	16851.5	 	16847.25	16857.38	150.92	78.02	77.62	170489	170702.52	42.42	28.64	18.72	15.13	53.58	
2023/12/16	01:23:42	16858.37	16863.75	16858.37	16860.94	16857.5	16852.25	 	16848.13	16857.38	145.32	82.54	79.59	170913	170623.2	43.62	29.12	24.52	12.76	61.75	
2023/12/16	01:24:11	16859.65	16866.25	16859.65	16863.88	16858.75	16853.5	 	16848.63	16857.38	156.33	84.13	81.41	171389	170643.32	58.23	31.69	27.02	10.37	66.65	
2023/12/16	01:24:26	16861.76	16869.75	16861.76	16867.88	16860.5	16855.25	 	16848.31	16857.38	196.28	85.54	83.06	171870	170732.84	72.01	36.06	30.62	8.16	72.46	
2023/12/16	01:24:37	16864.82	16870	16864.82	16868.44	16860.63	16855.38	 	16848	16856.25	236.6	88.61	85.28	172309	170892.16	85.95	39.85	26.94	6.99	69.95	
2023/12/16	01:24:54	16866.63	16869.25	16863	16867	16860.63	16855.38	 	16847.75	16855.38	269.19	88.44	86.54	171809	171120.96	70.45	39.02	22.32	10.78	61.54	
2023/12/16	01:25:14	16866.81	16871.5	16866.81	16869.5	16862.88	16856.13	 	16848.38	16855.25	282.37	89.18	87.6	172220	171386.76	70.58	40.31	25.75	9.34	66.41	
2023/12/16	01:25:32	16868.16	16874	16868.16	16872.06	16864.5	16857.38	 	16848.95	16854.3	299.76	89.44	88.34	172679	171652.96	84.33	43.12	28.59	7.79	70.8	
2023/12/16	01:25:55	16870.11	16874.5	16870.11	16872.25	16864.75	16857.63	 	16849.06	16854.25	291.13	89.19	88.68	173074	171913.4	84.18	45.79	26.35	6.77	69.58	
2023/12/16	01:26:10	16871.18	16874.75	16869.25	16872.38	16866.56	16857.75	 	16849.5	16854.13	279.27	90.46	89.39	173475	172164.88	70.8	45.76	22.02	8.22	63.8	
2023/12/16	01:26:23	16871.78	16875.5	16871.78	16874.25	16867.58	16858.13	 	16849	16853.75	277.91	91.67	90.3	173854	172445.36	69.81	46.48	21.8	7.26	64.55	
2023/12/16	01:26:42	16873.01	16875.75	16872.75	16874	16868.76	16859.88	 	16849	16853.75	251.66	91.76	90.88	174216	172753.4	69.01	47.34	20.43	6.52	63.91	
2023/12/16	01:27:19	16873.51	16875	16871.75	16873.75	16869.38	16859.88	 	16849	16853.63	238.44	91.81	91.25	173817	173055.36	71.49	44.73	18.03	9.36	58.68	
2023/12/16	01:27:55	16873.63	16878.25	16873.63	16876.38	16870.63	16861.88	 	16849	16852.2	232.6	92.34	91.69	174286	173357.64	72.07	46.41	26.75	7.8	68.95	
2023/12/16	01:28:06	16875	16879	16874.75	16877.19	16872.91	16863.38	 	16849	16851.63	228.58	91.36	91.56	174782	173665.56	72.43	48.47	25.33	6.59	68.75	
2023/12/16	01:28:29	16876.09	16879.5	16873.25	16876.25	16873.83	16864.51	 	16848.94	16851.63	210.34	89.42	90.7	174286	173908.96	56.83	45.66	19.88	10.33	59.55	
2023/12/16	01:28:44	16876.17	16876.17	16867.75	16871.19	16873.63	16865.38	 	16849.75	16851.63	173.1	81.28	86.93	173782	174055.16	54.95	42.19	14.72	24.46	40.25	
2023/12/16	01:28:56	16873.68	16875.75	16867.75	16871.56	16873.63	16865.38	 	16850.5	16851.63	139.75	71.47	80.75	173393	174138.88	42.6	39.31	11.38	18.91	42.47	
